!!!	국가	미국
!!!	장르	댄스 펑크
!!!	장르	인디 록
고현정	종교	불교
고현정	직책	배우
고현중학교	관할	경상남도남해교육지원청
고현중학교	국가	대한민국
고현철	국적	대한민국
고현철	본관	제주
고현철	전임	손지열
고현철	활동분야	대법관
고현철	후임	양승태
고혈압	질병DB	401
고혈압	질병DB	I10
고형욱	국적	대한민국
고형욱	소속일	1994년
고형욱	출신지	광주광역시
고형욱	포지션	투수
고혜정	국적	대한민국
고혜정	장르	방송극
고혜정	장르	연극
고혜정	직책	작가
고호경	직책	가수
고호경	직책	배우
고호쿠구	국가	일본
고호쿠구	주소	간토 지방
고황후	출생지	장안
고황후	출생지	중국
고효심	국적	대한민국
고효심	데뷔일	2012년
고효심	별명	고효심
고흥겸	후임	고중덕
고흥고등학교	개교	1975년
고흥고등학교	관할	전라남도교육청
고흥고등학교	국가	대한민국
고흥군	국가	대한민국
고흥길	국적	대한민국
고흥길	그룹	무소속
고흥길	본관	제주
고흥길	의원선수	3
고흥남양중학교	개교	1975년
고흥남양중학교	관할	전라남도고흥교육지원청
고흥남양중학교	국가	대한민국
고흥도화고등학교	개교	1975년
고흥도화고등학교	관할	전라남도교육청
고흥도화고등학교	국가	대한민국
고흥시외버스터미널	국가	대한민국
고흥시외버스터미널	종류	터미널
고흥여자중학교	개교	1966년
고흥여자중학교	관할	전라남도고흥교육지원청
고흥여자중학교	교감	김재철
고흥여자중학교	국가	대한민국
고흥영주고등학교	개교	1968년
고흥영주고등학교	관할	전라남도교육청
고흥영주고등학교	교훈	성실
고흥영주고등학교	국가	대한민국
고흥점암중앙중학교	개교	1971년
고흥점암중앙중학교	관할	전라남도고흥교육지원청
고흥점암중앙중학교	국가	대한민국
고희범	그룹	무소속
고희범	본관	제주
고희범	종교	기독교
고희범	직책	정치인
곡강천	국가	대한민국
곡강천	종점	동해
곡강천	주소	경상북도
곡강천	주소	포항시
곡반초등학교	관할	경기도수원교육지원청
곡반초등학교	국가	대한민국
곡반초등학교	상징	비둘기
곡반초등학교	상징	소나무
곡반초등학교	상징	진달래
곡성교육문화회관	공식명칭	곡성교육문화회관
곡성교육문화회관	운영	전라남도교육청
곡성교육문화회관	창립자	전라남도교육청
곡성교통	국가	대한민국
곡성교통	본사위치	대한민국
곡성교통	제품	시내버스
곡성버스터미널	공식명칭	곡성버스터미널
곡성버스터미널	국가	대한민국
곡성버스터미널	종류	터미널
곡성중앙초등학교	관할	전라남도곡성교육지원청
곡성중앙초등학교	국가	대한민국
곡송초등학교	관할	경상북도김천교육지원청
곡송초등학교	국가	대한민국
곡정고등학교	개교	2016년
곡정고등학교	관할	경기도교육청
곡정고등학교	교장	정진호
곡정고등학교	국가	대한민국
곡정초등학교	관할	경기도수원교육지원청
곡정초등학교	교장	김석진
곡정초등학교	국가	대한민국
곤=프릭스	성별	남
곤=프릭스	성우	배정민
곤=프릭스	직책	헌터
곤=프릭스	혈액형	B형
곤명중학교	개교	1967년
곤명중학교	관할	경상남도사천교육지원청
곤명중학교	국가	대한민국
곤명초등학교	관할	경상남도사천교육지원청
곤명초등학교	국가	대한민국
곤양고등학교	개교	1973년
곤양고등학교	관할	경상남도교육청
곤양고등학교	교감	안종길
곤양고등학교	국가	대한민국
곤양중학교	개교	1954년
곤양중학교	관할	경상남도사천교육지원청
곤양중학교	국가	대한민국
곤양터미널	국가	대한민국
곤양터미널	종류	터미널
곤제역	관할	의정부 경전철
곤제역	종류	보통역
곤조	국가	일본
곤조	본사위치	일본
곤지암읍	법정리	삼합리
곤지암읍	법정리	신대리
곤지암읍	법정리	신촌리
곤지암읍	법정리	연곡리
골!	국가	영국
골!	배급	터치스톤 픽처스
골!	언어	스페인어
골!	언어	영어
골든크로스	국가	대한민국
골든크로스	시간	수요일
골든크로스	연출가	홍석구
골든크로스	저자	유현미
골든크로스	조연출	정여진
골든크로스	책임프로듀서	이건준
골든크로스	출연	김강우
골든크로스	출연	엄기준
골든크로스	출연	정보석
골든크로스	프로듀서	이정미
골디	악기	샘플러
골디	악기	신시사이저
골디	장르	전자 음악
골디	직책	음악가
골목대장	감독	박철수
골목대장	국가	대한민국
골목대장	언어	한국어
골목대장	음악	정민섭
골목대장	편집	김창순
골반염	증상요약	열
골반염	진료과	산부인과
골약초등학교	관할	전라남도광양교육지원청
골약초등학교	국가	대한민국
곰TV	소유자	곰앤컴퍼니
곰TV	언어	한국어
곰녹음기	개발자	곰앤컴퍼니
곰녹음기	운영체제	10
곰녹음기	운영체제	2000
곰녹음기	운영체제	7
곰녹음기	운영체제	8
곰녹음기	운영체제	8.1
곰녹음기	운영체제	ME
곰녹음기	운영체제	XP
곰녹음기	운영체제	비스타
곰사당	소유자	공주시
곰사당	시간대	근대
곰소초등학교	관할	전라북도부안교육지원청
곰소초등학교	국가	대한민국
곰오디오	개발자	곰앤컴퍼니
곰오디오	운영체제	윈도우 2000
곰오디오	운영체제	윈도우 7
곰오디오	운영체제	윈도우 XP
곰오디오	운영체제	윈도우 비스타
곰오디오	종류	미디어 플레이어
곰오디오	플랫폼	마이크로소프트 윈도우
곰인코더	개발자	곰앤컴퍼니
곰인코더	라이선스	셰어웨어
곰인코더	플랫폼	윈도
곰플레이어	개발자	곰앤컴퍼니
곰플레이어	운영체제	마이크로소프트 윈도우
곰플레이어	종류	미디어 플레이어
공검초등학교	관할	경상북도상주교육지원청
공검초등학교	교감	이병재
공검초등학교	교장	김성애
공검초등학교	교훈	성실
공검초등학교	국가	대한민국
공경은	국적	대한민국
공군공중기동정찰사령부	국가	대한민국
공군공중기동정찰사령부	그룹	대한민국 공군
공군공중기동정찰사령부	명령체계	작전사령부
공군방공관제사령부	국가	대한민국
공군방공관제사령부	그룹	대한민국 공군
공군방공관제사령부	명령체계	작전사령부
공군방공포병학교	국가	대한민국
공군방공포병학교	그룹	대한민국 공군
공기인형	감독	고레에다 히로카즈
공기인형	개봉	2012년
공기인형	언어	일본어
공기인형	저자	고레에다 히로카즈
공기인형	제작	고레에다 히로카즈
공기인형	편집	고레에다 히로카즈
공덕동	법정동	공덕동
공덕동	법정동	아현동
공동체비전고등학교	개교	2003년
공동체비전고등학교	관할	충청남도교육청
공동체비전고등학교	교장	신완순
공동체비전고등학교	국가	대한민국
공룡메카드	감독	이순
공룡메카드	기획	최종일
공룡메카드	음악	김정아
공룡메카드	제작	KBS 1TV
공룡메카드	프로듀서	심혜원
공릉동	법정동	공릉동
공명당	이념	문화보수주의
공명당	이념	보수주의
공명당	종교	창가학회
공명당	종류	중도우파
공모자들	감독	김홍선
공모자들	국가	대한민국
공모자들	언어	한국어
공모자들	저자	김홍선
공모자들	출연	임창정
공모자들	출연	조윤희
공모자들	출연	최다니엘
공무원연금공단	관할	대한민국 인사혁신처
공문배	출생지	대한민국
공민서	국적	대한민국
공민서	그룹	로드 FC
공민서	사망일	서울특별시
공민서	직책	라운드 걸
공민서	직책	모델
공민영	국적	대한민국
공민영	데뷔일	2007년
공민현	포지션	공격수
공민현	현소속팀	성남 FC
공박	개발사	레드덕
공박	장르	스포츠 게임
공병우	국적	대한민국
공병우	배우자	이용희
공병우	언어	한국어
공병우	장르	사진
공병우	장르	수필
공병우	종교	개신교
공병우	직책	사진가
공병우	직책	저술가
공복자들	국가	대한민국
공복자들	장르	리얼리티
공복자들	제작	MBC TV
공복자들	추가채널	MBC 드라마넷
공복자들	추가채널	MBC 에브리원
공산댐	국가	대한민국
공산댐	주소	대구광역시
공산동	법정동	내동
공산동	법정동	송정동
공산동	법정동	신용동
공산동	법정동	중대동
공선옥	국적	대한민국
공선옥	사망일	1963년
공선옥	장르	소설
공선옥	직책	작가
공손도	국적	후한
공손도	사망원인	병사
공손연	부모	공손강
공손연	사망원인	전사
공순황귀비	가문	청나라
공순황귀비	배우자	가경제
공순황귀비	사망일	1787년
공순황귀비	종교	불교
공승연	직책	배우
공신부인	배우자	선덕제
공신부인	출생지	명나라
공신부인	출생지	조선
공신옹주	부	성종
공신옹주	출생지	조선
공영급행	국가	대한민국
공영급행	본사위치	대한민국
공영급행	사업내용	시내버스
공영급행	주소	인천광역시
공영일	국적	대한민국
공영일	언어	영어
공영일	언어	한국어
공영일	직책	저술가
공예지	국적	대한민국
공예지	직책	영화배우
공예지	직책	탤런트
공원왕후	가문	고려
공원왕후	부	홍규
공원왕후	출생지	고려
공음중학교	개교	1971년
공음중학교	관할	전라북도고창교육지원청
공음중학교	국가	대한민국
공의식	국적	대한민국
공의식	출신지	서울특별시
공의식	포지션	외야수
공자	분야	윤리학
공자	분야	정치학
공자	분야	철학
공자	주소	동양 철학
공재광	국적	대한민국
공재광	그룹	자유한국당
공재광	대통령	문재인
공재광	대통령	박근혜
공재광	배우자	조은주
공재광	전임	김선기
공재광	종교	무종교
공재광	총리	이낙연
공재광	총리	이완구
공재광	총리	정홍원
공재광	총리	황교안
공재광	후임	정장선
공정사회	감독	이지승
공정사회	국가	대한민국
공정사회	배급	엣나인필름
공정사회	언어	한국어
공정사회	음악	정진호
공정사회	저자	김현우
공정사회	저자	이지승
공정식	그룹	무소속
공정식	복무	대한민국 해군
공정식	복무	대한민국 해병대
공정택	국적	대한민국
공정택	그룹	무소속
공정택	후임	곽노현
공정환	직책	가수
공정환	직책	모델
공정환	직책	배우
공주고등학교	개교	1922년
공주고등학교	관할	충청남도교육청
공주고등학교	국가	대한민국
공주교도소	관할	대전지방교정청
공주교도소	국가	대한민국
공주교도소	완공	1908년
공주교동초등학교	관할	충청남도공주교육지원청
공주교동초등학교	국가	대한민국
공주교육대학교	국가	대한민국
공주교육대학교	종류	국립
공주교육대학교	총장	안병근
공주금성여자고등학교	개교	1980년
공주금성여자고등학교	관할	충청남도교육청
공주금성여자고등학교	국가	대한민국
공주금학초등학교	관할	충청남도공주교육지원청
공주금학초등학교	국가	대한민국
공주마이스터고등학교	개교	1972년
공주마이스터고등학교	관할	충청남도교육청
공주마이스터고등학교	국가	대한민국
공주봉황초등학교	관할	충청남도공주교육지원청
공주봉황초등학교	국가	대한민국
공주북중학교	개교	1968년
공주북중학교	관할	충청남도공주교육지원청
공주북중학교	교장	김명선
공주북중학교	국가	대한민국
공주산성정류소	개장	1977년
공주산성정류소	공식명칭	공주산성정류소
공주산성정류소	국가	대한민국
공주산성정류소	운영	삼흥고속
공주산성정류소	전신	2010년
공주여자고등학교	개교	1928년
공주여자고등학교	관할	충청남도교육청
공주여자고등학교	국가	대한민국
공주영명중학교	개교	1906년
공주영명중학교	관할	충청남도공주교육지원청
공주영명중학교	국가	대한민국
공주정명학교	관할	충청남도교육청
공주정명학교	국가	대한민국
공주중학교	개교	1922년
공주중학교	관할	충청남도공주교육지원청
공주중학교	교훈	성실
공주중학교	국가	대한민국
공준호	국적	대한민국
공준호	그룹	한국방송 성우극회
공중도둑	사망일	대한민국
공중도둑	장르	일렉트로니카
공중도둑	장르	포크
공중도둑	직책	싱어송라이터
공즉시색	감독	김현빈
공즉시색	국가	대한민국
공즉시색	시간	90분
공즉시색	언어	한국어
공즉시색	저자	김현빈
공차	국가	타이완
공차	본사위치	타이완
공차	인물	김여진
공차	창립	2006년
공찬	그룹	B1A4
공찬	그룹	WM 엔터테인먼트
공찬	장르	댄스 팝
공찬	직책	가수
공태하	출생지	대한민국
공태하	포지션	공격수
공태하	현소속팀	부산교통공사
공필성	국적	대한민국
공필성	소속일	1990년
공필성	포지션	3루수
공항고등학교	개교	1983년
공항고등학교	관할	서울특별시교육청
공항고등학교	교장	홍정희
공항고등학교	국가	대한민국
공현주	그룹	젤리피쉬 엔터테인먼트
공현주	직책	배우
공현진초등학교	관할	강원도고성교육지원청
공현진초등학교	국가	대한민국
공화인민당	이념	사회민주주의
공화인민당	이념	세속주의
공화인민당	이념	진보주의
공화인민당	이념	케말주의
공화인민당	종류	중도좌파
공화주의제안당	상징색	노랑
공화주의제안당	이념	경제적 자유주의
공화주의제안당	이념	보수자유주의
공화주의제안당	종류	중도우파
공화주의제안당	지도자	마우리시오 마크리
공효진	그룹	매니지먼트 숲
공효진	직책	배우
공훈여성기악중주조	장르	클래식
공훈여성기악중주조	장르	팝
공훈여성기악중주조	창립지	조선민주주의인민공화국
과림동	법정동	과림동
과속스캔들	감독	강형철
과속스캔들	국가	대한민국
과속스캔들	배급	롯데엔터테인먼트
과속스캔들	언어	한국어
과속스캔들	음악	김준석
과속스캔들	촬영	김준영
과정초등학교	관할	부산광역시동래교육지원청
과정초등학교	국가	대한민국
과천경찰서	국가	대한민국
과천경찰서	완공	1989년
과천고등학교	개교	1985년
과천고등학교	관할	경기도교육청
과천고등학교	교감	한승훈
과천고등학교	국가	대한민국
과천선	국가	대한민국
과천선	기점	금정역
과천선	소유자	대한민국 정부
과천선	역수	10
과천선	운영	한국철도공사
과천선	종류	광역철도
과천선	종점	남태령역
과천여객	국가	대한민국
과천여객	본사위치	대한민국
과천여객	제품	시내버스
과천여객	하위기관	과천운수
과천여객	하위기관	호계운수
과천여자고등학교	개교	1976년
과천여자고등학교	관할	경기도교육청
과천여자고등학교	국가	대한민국
과천운수	국가	대한민국
과천운수	본사위치	대한민국
과천운수	제품	마을버스
과천운수	하위기관	과천여객
과천운수	하위기관	호계운수
과천중학교	개교	1982년
과천중학교	관할	경기도안양과천교육지원청
과천중학교	교감	이미나
과천중학교	교훈	성실
과천중학교	국가	대한민국
과천초등학교	관할	경기도안양과천교육지원청
과천초등학교	국가	대한민국
과학기술연합대학원대학교	국가	대한민국
과학기술연합대학원대학교	종류	대학원대학
과학소년	국가	대한민국
과학소년	발행사	교원그룹
과학소년	언어	한국어
과학소년	종류	과학
곽결호	그룹	무소속
곽결호	대통령	노무현
곽결호	참전	베트남 전쟁
곽광선	출생지	대한민국
곽광선	포지션	수비수
곽광선	현소속팀	전남 드래곤즈
곽금주	언어	영어
곽금주	언어	한국어
곽금주	직책	교수
곽금주	직책	저술가
곽금초등학교	관할	제주시교육지원청
곽금초등학교	국가	대한민국
곽대훈	국적	대한민국
곽대훈	그룹	자유한국당
곽대훈	의원선수	1
곽동한	국적	대한민국
곽동한	사망일	포항시
곽동한	학력	용인대학교
곽민호	사망일	서울특별시
곽범기	국적	조선민주주의인민공화국
곽범기	직책	정치인
곽빈	국적	대한민국
곽빈	소속일	2018년
곽빈	포지션	투수
곽상도	국적	대한민국
곽상도	그룹	자유한국당
곽상도	의원선수	1
곽상욱	국적	대한민국
곽상욱	그룹	더불어민주당
곽상욱	대통령	문재인
곽상욱	총리	이낙연
곽상은	국적	대한민국
곽상은	그룹	SBS
곽상은	직책	기자
곽상준	국적	대한민국
곽상준	사망일	서울특별시
곽선희	국적	대한민국
곽선희	종교	장로교
곽영주	그룹	무소속
곽영주	대통령	이승만
곽영주	총리	백두진
곽영주	총리	백한성
곽영주	총리	변영태
곽영준	국적	대한민국
곽영준	사망일	부산광역시
곽영준	악기	베이스
곽영준	직책	프로듀서
곽영지	국적	대한민국
곽영지	사망일	1959년
곽영지	직책	기자
곽예지	국적	대한민국
곽예지	학력	대전체육고등학교
곽용섭	국적	대한민국
곽용섭	소속일	2003년
곽용섭	출신지	서울특별시
곽용섭	포지션	1루수
곽원갑	국적	청나라
곽원갑	그룹	무소속
곽윤기	국가	대한민국
곽윤기	국적	대한민국
곽윤상	가족	최하나
곽윤상	국적	대한민국
곽율	국적	조선
곽율	사망원인	병사
곽율	사망일	1593년
곽율	직책	문신
곽의진	국적	대한민국
곽의진	언어	한국어
곽의진	장르	소설
곽의진	장르	수필
곽의진	장르	시
곽의진	직책	소설가
곽의진	직책	시인
곽재겸	국적	조선
곽재우	계급	병마절도사
곽재우	국적	조선
곽재우	직책	무관
곽재우	참전	임진왜란
곽재우	참전	정유재란
곽정철	국적	대한민국
곽정철	소속일	2005년
곽정철	포지션	투수
곽정훈	국적	대한민국
곽정훈	포지션	외야수
곽주섭	국적	대한민국
곽주섭	출신지	부산광역시
곽주섭	포지션	외야수
곽지균	국적	대한민국
곽지균	직책	영화 감독
곽지민	본명	곽선희
곽지민	직책	배우
곽철호	출생지	대한민국
곽철호	포지션	공격수
곽푸른하늘	국적	대한민국
곽푸른하늘	본명	곽푸른하늘
곽푸른하늘	사망일	대한민국
곽푸른하늘	장르	가요
곽푸른하늘	직책	가수
곽푸른하늘	직책	싱어송라이터
곽하윤	국적	대한민국
곽하윤	사망일	서울특별시
곽한구	국적	대한민국
곽한구	데뷔일	2005년
곽한얼	국적	대한민국
곽한얼	그룹	-
곽한얼	종족	테란
관고동	법정동	관고동
관곡초등학교	관할	경기도용인교육지원청
관곡초등학교	국가	대한민국
관교동	법정동	관교동
관교여자중학교	관할	인천광역시남부교육지원청
관교여자중학교	교훈	성실
관교여자중학교	국가	대한민국
관교중학교	관할	인천광역시남부교육지원청
관교중학교	국가	대한민국
관당초등학교	관할	충청남도보령교육지원청
관당초등학교	국가	대한민국
관동군	국가	일본 제국
관동군	그룹	일본 제국 육군
관동군	명령체계	대본영
관동주	국가	중화인민공화국
관동주	언어	일본어
관동주	언어	중국어
관동초등학교	관할	경상남도김해교육지원청
관동초등학교	국가	대한민국
관문초등학교	관할	경기도안양과천교육지원청
관문초등학교	국가	대한민국
관봉초등학교	관할	경상남도진주교육지원청
관봉초등학교	국가	대한민국
관산남초등학교	관할	전라남도장흥교육지원청
관산남초등학교	국가	대한민국
관샤오퉁	국적	중화인민공화국
관샤오퉁	직책	가수
관샤오퉁	직책	모델
관샤오퉁	직책	배우
관설초등학교	관할	강원도원주교육지원청
관설초등학교	국가	대한민국
관세음보살	종교	대승불교
관세음보살	종교	밀교
관수금속	국가	일본
관수금속	본사위치	일본
관수금속	산업	판매
관악구	국가	대한민국
관악대로	기점	경기도
관악대로	종점	경기도
관악중학교	개교	1982년
관악중학교	관할	서울특별시동작관악교육지원청
관악중학교	교감	박장범
관악중학교	국가	대한민국
관양고등학교	개교	2002년
관양고등학교	관할	경기도교육청
관양고등학교	교감	신인수
관양고등학교	국가	대한민국
관양도서관	운영	안양시
관양도서관	창립자	안양시
관양동	법정동	관양동
관양중학교	개교	1977년
관양중학교	관할	경기도안양과천교육지원청
관양중학교	교훈	성실
관양중학교	국가	대한민국
관영하	국적	홍콩
관영하	배우자	장가휘
관영하	사망일	홍콩
관영하	직책	영화배우
관음교통	국가	대한민국
관음교통	본사위치	대한민국
관음교통	제품	시내버스
관음동	법정동	관음동
관음중학교	개교	1993년
관음중학교	관할	대구광역시서부교육지원청
관음중학교	국가	대한민국
관인고등학교	개교	1956년
관인고등학교	관할	경기도교육청
관인고등학교	국가	대한민국
관인면	법정리	냉정리
관인면	법정리	중리
관징량	국적	홍콩
관징량	사망일	홍콩
관창초등학교	관할	충청남도보령교육지원청
관창초등학교	국가	대한민국
관천중학교	개교	1994년
관천중학교	관할	대구광역시서부교육지원청
관천중학교	국가	대한민국
관체어	국가	스페인
관체어	어족	관체어
관체어	어족	베르베르어파
관체어	어족	아프리카아시아어족
관체인	민족	베르베르인
관체인	언어	관체어
관체인	종교	애니미즘
관촌공용버스터미널	공식명칭	관촌공용버스터미널
관촌공용버스터미널	국가	대한민국
관촌공용버스터미널	종류	터미널
관촌중학교	개교	1970년
관촌중학교	관할	전라북도임실교육지원청
관촌중학교	국가	대한민국
관촌초등학교	관할	전라북도임실교육지원청
관촌초등학교	국가	대한민국
관평동	법정동	관평동
관평동	법정동	용산동
관하이산	사망일	홍콩
관하이산	직책	영화배우
괌	대통령	도널드 트럼프
괌	언어	영어
괌	언어	차모로어
광고백	국가	대한민국
광고백	본사위치	대한민국
광고백	창립자	유세윤
광교SK뷰레이크타워	완공	2019년
광교SK뷰레이크타워	용도	오피스텔
광교비즈니스센터	개장	2015년
광교비즈니스센터	완공	2015년
광교비즈니스센터	착공	2013년
광교초등학교	관할	경기도수원교육지원청
광교초등학교	국가	대한민국
광교홍재도서관	운영	수원시
광교홍재도서관	창립자	수원시
광끼	국가	대한민국
광끼	연출가	문보현
광끼	연출가	윤석호
광끼	저자	김민주
광끼	저자	박경
광끼	저자	오수연
광끼	저자	이경미
광끼	제작	KBS 2TV
광나루역	관할	서울교통공사
광나루역	역번호	546
광남동	법정동	목동
광남동	법정동	중대동
광남동	법정동	직동
광남자동차	국가	대한민국
광남자동차	본사위치	대한민국
광남자동차	제품	시내버스
광녀	감독	박노식
광녀	국가	대한민국
광녀	시간	90분
광녀	언어	한국어
광녀	저자	윤삼륙
광대가	국가	대한민국
광대가	연출가	김종학
광대가	장르	드라마
광대가	저자	이은성
광덕면	법정리	11
광동제약	국가	대한민국
광동제약	본사위치	대한민국
광동제약	제품	음료
광동제약	제품	의약품
광동제약	창립자	최수부
광둥어	국가	뉴질랜드
광둥어	국가	마카오
광둥어	국가	미국
광둥어	국가	싱가포르
광둥어	국가	오스트레일리아
광둥어	국가	캐나다
광둥어	국가	홍콩
광둥어	어족	광둥어
광둥어	어족	중국어
광둥어	어족	중국어파
광둥어	어족	중국티베트어족
광란가족일기	번역	이덕주
광란가족일기	음반레이블	NT 노벨
광란가족일기	장르	SF
광란가족일기	장르	판타지
광란가족일기	출판사	대원씨아이
광려중학교	개교	2007년
광려중학교	관할	경상남도창원교육지원청
광려중학교	교장	이상락
광려중학교	국가	대한민국
광릉공	가문	고려
광릉공	출생지	고려
광명광성초등학교	관할	경기도광명교육지원청
광명광성초등학교	국가	대한민국
광명남초등학교	관할	경기도광명교육지원청
광명남초등학교	국가	대한민국
광명도서관	운영	광명시
광명도서관	창립자	광명시
광명동초등학교	관할	경기도광명교육지원청
광명동초등학교	국가	대한민국
광명북고등학교	개교	1991년
광명북고등학교	관할	경기도교육청
광명북고등학교	교훈	성실
광명북고등학교	국가	대한민국
광명북중학교	개교	1986년
광명북중학교	관할	경기도광명교육지원청
광명북중학교	국가	대한민국
광명서초등학교	관할	경기도광명교육지원청
광명서초등학교	국가	대한민국
광명소방서	관할	경기도 소방재난본부
광명소방서	국가	대한민국
광명소방서	완공	1982년
광명시	국가	대한민국
광명시	창립자	까치
광명운수	국가	대한민국
광명운수	본사위치	대한민국
광명운수	제품	시내버스
광명운수	창립	1970년
광명전기	국가	대한민국
광명전기	본사위치	대한민국
광명전기	창립	1955년
광명종합터미널	공식명칭	광명종합터미널
광명종합터미널	국가	대한민국
광명종합터미널	종류	터미널
광무여자중학교	개교	1975년
광무여자중학교	관할	부산광역시남부교육지원청
광무여자중학교	교감	최흥식
광무여자중학교	국가	대한민국
광민	그룹	보이프렌드
광민	그룹	스타쉽 엔터테인먼트
광민	장르	랩
광민	장르	힙합
광민	직책	배우
광민	직책	쌍둥이
광산구	국가	대한민국
광산중학교	개교	1985년
광산중학교	관할	광주광역시서부교육지원청
광산중학교	국가	대한민국
광산초등학교	관할	강원도고성교육지원청
광산초등학교	국가	대한민국
광서제	배우자	효정경황후
광석중학교	개교	1987년
광석중학교	관할	충청남도논산계룡교육지원청
광석중학교	교감	김우영
광석중학교	국가	대한민국
광선초등학교	관할	경기도안성교육지원청
광선초등학교	국가	대한민국
광성초등학교	관할	경기도화성오산교육지원청
광성초등학교	국가	대한민국
광수중학교	개교	1967년
광수중학교	관할	경기도광주하남교육지원청
광수중학교	국가	대한민국
광숭초등학교	관할	경기도동두천양주교육지원청
광숭초등학교	국가	대한민국
광신고등학교	개교	1987년
광신고등학교	관할	서울특별시교육청
광신고등학교	국가	대한민국
광신고속	국가	대한민국
광신고속	본사위치	대한민국
광신고속	제품	시내버스
광신고속	제품	시외버스
광신고속	하위기관	나주교통
광신중학교	개교	1905년
광신중학교	관할	서울특별시동작관악교육지원청
광신중학교	국가	대한민국
광안대교	건설	대우건설
광안대교	건설	롯데건설
광안대교	건설	포스코건설
광안대교	공식명칭	광안대교
광안대교	관리	부산시설공단
광안대교	국적	대한민국
광안중학교	개교	1981년
광안중학교	관할	부산광역시해운대교육지원청
광안중학교	교장	김홍준
광안중학교	국가	대한민국
광안초등학교	관할	부산광역시해운대교육지원청
광안초등학교	국가	대한민국
광암터널	관리	한국도로공사
광암터널	국적	대한민국
광양가야초등학교	관할	전라남도광양교육지원청
광양가야초등학교	국가	대한민국
광양다압중학교	개교	1971년
광양다압중학교	관할	전라남도광양교육지원청
광양다압중학교	국가	대한민국
광양마동중학교	개교	2015년
광양마동중학교	관할	전라남도광양교육지원청
광양마동중학교	국가	대한민국
광양마로초등학교	관할	전라남도광양교육지원청
광양마로초등학교	국가	대한민국
광양백운중학교	개교	2007년
광양백운중학교	관할	전라남도광양교육지원청
광양백운중학교	국가	대한민국
광양서초등학교	관할	전라남도광양교육지원청
광양서초등학교	국가	대한민국
광양여자고등학교	개교	1973년
광양여자고등학교	관할	전라남도교육청
광양여자고등학교	국가	대한민국
광양여자중학교	개교	1970년
광양여자중학교	관할	전라남도광양교육지원청
광양여자중학교	교장	장경수
광양여자중학교	국가	대한민국
광양용강중학교	개교	2015년
광양용강중학교	관할	전라남도광양교육지원청
광양용강중학교	국가	대한민국
광양용강초등학교	관할	전라남도광양교육지원청
광양용강초등학교	국가	대한민국
광양제철고등학교	개교	1986년
광양제철고등학교	관할	전라남도교육청
광양제철고등학교	국가	대한민국
광양제철남초등학교	관할	전라남도교육청
광양제철남초등학교	교장	오성균
광양제철남초등학교	국가	대한민국
광양제철초등학교	관할	전라남도교육청
광양제철초등학교	국가	대한민국
광양종합버스터미널	국가	대한민국
광양종합버스터미널	종류	터미널
광양중동중학교	개교	2001년
광양중동중학교	관할	전라남도광양교육지원청
광양중동중학교	국가	대한민국
광양중동초등학교	관할	전라남도광양교육지원청
광양중동초등학교	국가	대한민국
광양중앙초등학교	관할	전라남도광양교육지원청
광양중앙초등학교	국가	대한민국
광양중진초등학교	관할	전라남도광양교육지원청
광양중진초등학교	국가	대한민국
광양진월중학교	개교	1971년
광양진월중학교	관할	전라남도광양교육지원청
광양진월중학교	국가	대한민국
광양초등학교	관할	제주시교육지원청
광양초등학교	국가	대한민국
광양초등학교	상징	동백나무
광양하이텍고등학교	개교	1951년
광양하이텍고등학교	관할	전라남도교육청
광양하이텍고등학교	국가	대한민국
광영여자고등학교	개교	1985년
광영여자고등학교	관할	서울특별시교육청
광영여자고등학교	국가	대한민국
광왕	부	군수미
광왕	전임	옹귀미
광왕	친척	오취도
광운대역	역번호	119
광운대역	종류	관리역
광운대학교	국가	대한민국
광운대학교	그룹	광운학원
광운대학교	창립	1934년
광운대학교	총장	유지상
광운초등학교	국가	대한민국
광운초등학교	그룹	광운학원
광운학원	창립	1934년
광의초등학교	관할	전라남도구례교육지원청
광의초등학교	국가	대한민국
광일고등학교	개교	1983년
광일고등학교	관할	광주광역시교육청
광일고등학교	국가	대한민국
광장중학교	개교	1983년
광장중학교	관할	서울특별시성동광진교육지원청
광장중학교	국가	대한민국
광적면	법정리	석우리
광주MBC라디오칼럼	국가	대한민국
광주MBC라디오칼럼	분야	시사
광주MBC라디오칼럼	분야	정치
광주경신여자고등학교	개교	1973년
광주경신여자고등학교	관할	광주광역시교육청
광주경신여자고등학교	교감	정문영
광주경신여자고등학교	국가	대한민국
광주경신중학교	개교	1984년
광주경신중학교	관할	광주광역시동부교육지원청
광주경신중학교	교감	이재석
광주경신중학교	국가	대한민국
광주공항	소유자	대한민국 공군
광주공항	운영	대한민국 공군
광주공항	운영	미국 공군
광주공항	운영	한국공항공사
광주공항	주소	광주광역시
광주과학기술원	국가	대한민국
광주과학기술원	종류	국립
광주광명초등학교	관할	경기도광주하남교육지원청
광주광명초등학교	국가	대한민국
광주광산소방서	관할	광주광역시 소방안전본부
광주광산소방서	국가	대한민국
광주광산소방서	완공	1989년
광주광역시5·18기념문화센터	관할	광주광역시청
광주광역시5·18기념문화센터	창립	1998년
광주광역시공무원교육원	관할	광주광역시청
광주광역시공무원교육원	창립	2017년
광주광역시농업기술센터	관할	광주광역시청
광주광역시농업기술센터	창립	1998년
